"type","title","attendance","speaker","time","room","url","concurrent_sessions","concurrent_attendance","expected","attendance_ratio","id"
"Talk","The R6 Class System",178,"Winston Chang",2017-07-05 12:12:00,"3.02","https://user2017.sched.com/event/Axp8",6,835,161,1.11,"74"
"Talk","The Revised Sequential Parameter Optimization Toolbox",92,"Sebastian Krey",2017-07-05 12:12:00,"2.02","https://user2017.sched.com/event/AxpH",6,835,161,0.57,"75"
"BREAK","LUNCH",381,NA,2017-07-05 12:30:00,"CATERING POINTS","https://user2017.sched.com/event/AxpJ",1,381,966,0.39,"76"
"Talk","**shadow**: R Package for Geometric Shade Calculations in an Urban Environment",49,"Michael Dorman",2017-07-05 13:30:00,"3.01","https://user2017.sched.com/event/AxpP",6,876,161,0.3,"77"
"Talk","Integrated Cluster Analysis with R in Drug Discovery Experiments using Multi-Source Data",106,"Marijke Van Moerbeke",2017-07-05 13:30:00,"2.01","https://user2017.sched.com/event/AxpN",6,876,161,0.66,"78"
"Talk","R-Ladies Global Community",124,"Alice Daish",2017-07-05 13:30:00,"PLENARY","https://user2017.sched.com/event/AxpK",6,876,161,0.77,"79"
"Talk","Stream processing with R in AWS",139,"Gergely Daroczi",2017-07-05 13:30:00,"3.02","https://user2017.sched.com/event/AxpL",6,876,161,0.86,"80"
"Talk","Text mining, the tidy way",351,"Julia Silge",2017-07-05 13:30:00,"4.02","https://user2017.sched.com/event/AxpM",6,876,161,2.18,"81"
"Talk","The use of R in predictive maintenance: A use case with TRUMPF Laser GmbH",107,"Andreas Prawitt",2017-07-05 13:30:00,"2.02","https://user2017.sched.com/event/AxsI",6,876,161,0.66,"82"
"Talk","**RQGIS** - integrating *R* with QGIS for innovative geocomputing",121,"Jannes Muenchow",2017-07-05 13:48:00,"3.01","https://user2017.sched.com/event/AxpV",6,839,161,0.75,"83"
"Talk","Architectural Elements Enabling R for Big Data",198,"Mark Hornick",2017-07-05 13:48:00,"3.02","https://user2017.sched.com/event/AxpR",6,839,161,1.23,"84"
"Talk","Clustering transformed compositional data using *coseq*",72,"Andrea Rau",2017-07-05 13:48:00,"2.01","https://user2017.sched.com/event/AxpZ",6,839,161,0.45,"85"
"Talk","manifestoR - a tool for data journalists, a source for text miners and a prototype for reproducibility software",143,"Jirka Lewandowski",2017-07-05 13:48:00,"4.02","https://user2017.sched.com/event/AxpS",6,839,161,0.89,"86"
"Talk","Too good for your own good: Shiny prototypes out of control",214,"Grace Meyer",2017-07-05 13:48:00,"2.02","https://user2017.sched.com/event/AxsO",6,839,161,1.33,"87"
"Talk","We R a Community-making high quality courses for high education accessible for all:The >eR-Biostat initiative",91,"Ziv Shkedy",2017-07-05 13:48:00,"PLENARY","https://user2017.sched.com/event/AxpQ",6,839,161,0.57,"88"
"Talk","A Tidy Data Model for Natural Language Processing",223,"Taylor Arnold",2017-07-05 14:06:00,"4.02","https://user2017.sched.com/event/AxpY",6,817,161,1.39,"89"
"Talk","Beyond Prototyping: Best practices for R in critical enterprise environments",200,"Oliver Bracht",2017-07-05 14:06:00,"2.02","https://user2017.sched.com/event/AxsU",6,817,161,1.24,"90"
"Talk","Extracting Meaningful Noisy Biclusters from a Binary Big-Data Matrix using the BiBitR R Package",68,"Ewoud De Troyer",2017-07-05 14:06:00,"2.01","https://user2017.sched.com/event/AxpT",6,817,161,0.42,"91"
"Talk","How the R Consortium is Supporting the R Community",129,"Joseph Rickert",2017-07-05 14:06:00,"PLENARY","https://user2017.sched.com/event/AxpW",6,817,161,0.8,"92"
"Talk","Link2GI - Easy linking Open Source GIS with R",67,"Christoph Reudenbach",2017-07-05 14:06:00,"3.01","https://user2017.sched.com/event/Axpb",6,817,161,0.42,"93"
"Talk","Rc$^2$: an Environment for Running R and Spark in Docker Containers",130,"Jim Harner",2017-07-05 14:06:00,"3.02","https://user2017.sched.com/event/AxpX",6,817,161,0.81,"94"
"Talk","Diversity of the R Community",101,"julie josse",2017-07-05 14:24:00,"PLENARY","https://user2017.sched.com/event/Axpc",6,871,161,0.63,"95"
"Talk","Implementing Predictive Analytics projects in corporate environments",215,"Verena Pflieger",2017-07-05 14:24:00,"2.02","https://user2017.sched.com/event/Axsa",6,871,161,1.34,"96"
"Talk","Interfacing Google's spherical geometry library (S2) for spatial data in R",99,"Ege Rubak",2017-07-05 14:24:00,"3.01","https://user2017.sched.com/event/AypI",6,871,161,0.61,"97"
"Talk","kmlShape: clustering longitudinal data according to their shapes",98,"Christophe Genolini",2017-07-05 14:24:00,"2.01","https://user2017.sched.com/event/Axpf",6,871,161,0.61,"98"
"Talk","R goes Mobile: Efficient Scheduling for Parallel R Programs on Heterogeneous Embedded Systems",84,"Helena Kotthaus",2017-07-05 14:24:00,"3.02","https://user2017.sched.com/event/Axpd",6,871,161,0.52,"99"
"Talk","Text Analysis and Text Mining Using R",274,"Kenneth Benoit",2017-07-05 14:24:00,"4.02","https://user2017.sched.com/event/Axpe",6,871,161,1.7,"100"
"Talk","**rTRNG**: Advanced Parallel Random Number Generation in R",67,"Riccardo Porreca",2017-07-05 14:42:00,"3.02","https://user2017.sched.com/event/Axpj",4,686,242,0.28,"101"
"Talk","Neural Embeddings and NLP with R and Spark",208,"Ali Zaidi",2017-07-05 14:42:00,"4.02","https://user2017.sched.com/event/Axpk",4,686,242,0.86,"102"
"Talk","Scalable, Spatiotemporal Tidy Arrays for R (stars)",112,"Edzer Pebesma",2017-07-05 14:42:00,"3.01","https://user2017.sched.com/event/AxpE",4,686,242,0.46,"103"
"Talk","We R What We Ask: The Landscape of R Users on Stack Overflow",299,"David Robinson",2017-07-05 14:42:00,"PLENARY","https://user2017.sched.com/event/Axpi",4,686,242,1.24,"104"
"BREAK","COFFEE BREAK",365,NA,2017-07-05 15:00:00,"CATERING POINTS","https://user2017.sched.com/event/Axpo",1,365,966,0.38,"105"
"Sponsor talk","Sponsor Talk Data Camp",335,NA,2017-07-05 15:30:00,"PLENARY","https://user2017.sched.com/event/B9H6",1,335,966,0.35,"106"
"Invited Talk","KEYNOTE: Teaching data science to new useRs",589,"Mine Cetinkaya-Rundel",2017-07-05 15:45:00,"PLENARY","https://user2017.sched.com/event/Ay01",1,589,966,0.61,"107"
"BREAK","COFFEE BREAK",328,NA,2017-07-05 16:45:00,"CATERING POINTS","https://user2017.sched.com/event/Axpq",1,328,966,0.34,"108"
"R Initiatives","Navigating the R package universe",400,NA,2017-07-05 17:00:00,"PLENARY","https://user2017.sched.com/event/AypJ",1,400,966,0.41,"109"
"Conference Event","Poster Reception",354,NA,2017-07-05 18:30:00,"CATERING POINTS","https://user2017.sched.com/event/AzlY",1,354,966,0.37,"110"
"Conference Event","REGISTRATION",96,NA,2017-07-06 08:00:00,"Wild Gallery","https://user2017.sched.com/event/Axsr",1,96,966,0.1,"111"
"Sponsor talk","Sponsor Talk Open Analytics",289,NA,2017-07-06 09:15:00,"PLENARY","https://user2017.sched.com/event/B9H7",1,289,966,0.3,"112"
"Invited Talk","KEYNOTE: Dose-response analysis: considering dose both as qualitative factor and quantitative covariate- using R*",476,"Ludwig Hothorn",2017-07-06 09:30:00,"PLENARY","https://user2017.sched.com/event/Ay02",1,476,966,0.49,"113"
"BREAK","COFFEE BREAK",331,NA,2017-07-06 10:30:00,"CATERING POINTS","https://user2017.sched.com/event/Axst",1,331,966,0.34,"114"
"Talk","**rags2ridges**: A One-Stop-Go for Network Modeling of Precision Matrices",36,"Carel Peeters",2017-07-06 11:00:00,"3.01","https://user2017.sched.com/event/Axpz",6,841,161,0.22,"115"
"Talk","Bayesian social network analysis with Bergm",117,"Alberto Caimo",2017-07-06 11:00:00,"4.01","https://user2017.sched.com/event/Axq0",6,841,161,0.73,"116"
"Talk","Hosting Data Packages via `drat`: A Case Study with Hurricane Exposure Data",72,"Brooke Anderson",2017-07-06 11:00:00,"2.02","https://user2017.sched.com/event/Axpy",6,841,161,0.45,"117"
"Talk","moodler: A new R package to easily fetch data from Moodle",63,"Jakub Chromec",2017-07-06 11:00:00,"4.02","https://user2017.sched.com/event/Axpx",6,841,161,0.39,"118"
"Talk","Show Me Your Model: tools for visualisation of statistical models",519,"Przemyslaw Biecek",2017-07-06 11:00:00,"PLENARY","https://user2017.sched.com/event/Axpw",6,841,161,3.22,"119"
"Talk","Using the alphabetr package to determine paired T cell receptor sequences",34,"Edward S. Lee",2017-07-06 11:00:00,"2.01","https://user2017.sched.com/event/Axq1",6,841,161,0.21,"120"
"Talk","Can you keep a secret?",274,"Andrie de Vries",2017-07-06 11:18:00,"4.02","https://user2017.sched.com/event/Axq3",6,762,161,1.7,"121"
"Talk","Clouds, Containers and R, towards a global hub for reproducible and collaborative data science",219,"Karim Chine",2017-07-06 11:18:00,"2.02","https://user2017.sched.com/event/Axq4",6,762,161,1.36,"122"
"Talk","Differentiation of brain tumor tissue using hierarchical non-negative matrix factorization",83,"Nicolas Sauwen",2017-07-06 11:18:00,"2.01","https://user2017.sched.com/event/Axq7",6,762,161,0.52,"123"
"Talk","difNLR: Detection of potentional gender/minority bias with extensions of logistic regression",60,"Adéla Drabinová",2017-07-06 11:18:00,"4.01","https://user2017.sched.com/event/Axq6",6,762,161,0.37,"124"
"Talk","Quantitative fisheries advice using R and FLR",76,"Finlay Scott",2017-07-06 11:18:00,"PLENARY","https://user2017.sched.com/event/Axq2",6,762,161,0.47,"125"
"Talk","Various Versatile Variances: An Object-Oriented Implementation of Clustered Covariances in *R*",50,"Susanne Berger",2017-07-06 11:18:00,"3.01","https://user2017.sched.com/event/Axq5",6,762,161,0.31,"126"
"Talk","**BradleyTerryScalable**: Ranking items scalably with the Bradley-Terry model",53,"Ella Kaye",2017-07-06 11:36:00,"4.01","https://user2017.sched.com/event/AxqC",6,897,161,0.33,"127"
"Talk","*jamovi*: a spreadsheet for R",185,"Jonathon Love",2017-07-06 11:36:00,"PLENARY","https://user2017.sched.com/event/Axq8",6,897,161,1.15,"128"
"Talk","Biosignature-Based Drug Design: from high dimensional data to business impact",57,"Marvin Steijaert",2017-07-06 11:36:00,"2.01","https://user2017.sched.com/event/AxqD",6,897,161,0.35,"129"
"Talk","codebookr: Codebooks in *R*",186,"Peter Baker",2017-07-06 11:36:00,"2.02","https://user2017.sched.com/event/AxqA",6,897,161,1.16,"130"
"Talk","factorMerger: a set of tools to support results from post hoc testing",54,"Agnieszka Sitko",2017-07-06 11:36:00,"3.01","https://user2017.sched.com/event/AxqB",6,897,161,0.34,"131"
"Talk","Scraping data with rvest and purrr",362,"Max Humber",2017-07-06 11:36:00,"4.02","https://user2017.sched.com/event/Axq9",6,897,161,2.25,"132"
"Talk","Estimating the Parameters of a Continuous-Time Markov Chain from Discrete-Time Data with ctmcd",93,"Marius Pfeuffer",2017-07-06 11:54:00,"3.01","https://user2017.sched.com/event/AxqH",6,852,161,0.58,"133"
"Talk","Interactive and Reproducible Research for RNA Sequencing Analysis",92,"Brian Piccolo",2017-07-06 11:54:00,"2.01","https://user2017.sched.com/event/AxqJ",6,852,161,0.57,"134"
"Talk","IRT test equating with the R package equateIRT",43,"Michela Battauz",2017-07-06 11:54:00,"4.01","https://user2017.sched.com/event/AxqI",6,852,161,0.27,"135"
"Talk","jug: Building Web APIs for R",207,"Bart Smeets",2017-07-06 11:54:00,"4.02","https://user2017.sched.com/event/AxqF",6,852,161,1.29,"136"
"Talk","Show me the errors you didn't look for",239,"Claus Ekstrøm",2017-07-06 11:54:00,"2.02","https://user2017.sched.com/event/AxqG",6,852,161,1.48,"137"
"Talk","The growing popularity of R in data journalism",178,"Timo Grossenbacher",2017-07-06 11:54:00,"PLENARY","https://user2017.sched.com/event/AxqE",6,852,161,1.11,"138"
"Talk","Automatically archiving reproducible studies with Docker",282,"Daniel Nüst",2017-07-06 12:12:00,"2.02","https://user2017.sched.com/event/AxqM",4,690,242,1.17,"139"
"Talk","FFTrees: An R package to create, visualise and use fast and frugal decision trees",213,"Nathaniel Phillips",2017-07-06 12:12:00,"PLENARY","https://user2017.sched.com/event/AxqK",4,690,242,0.88,"140"
"Talk","MCMC Output Analysis Using R package mcmcse",115,"Dootika Vats",2017-07-06 12:12:00,"3.01","https://user2017.sched.com/event/AxqN",4,690,242,0.48,"141"
"Talk","Stochastic Gradient Descent Log-Likelihood Estimation in the Cox Proportional Hazards Model with Applications to The Cancer Genome Atlas Data",80,"Marcin Kosinski",2017-07-06 12:12:00,"2.01","https://user2017.sched.com/event/Ay03",4,690,242,0.33,"142"
"BREAK","LUNCH",361,NA,2017-07-06 12:30:00,"CATERING POINTS","https://user2017.sched.com/event/AxqQ",1,361,966,0.37,"143"
"Talk","An Efficient Algorithm for Solving Large Fixed Effects OLS Problems with Clustered Standard Error Estimation",73,"Thomas Balmat",2017-07-06 13:30:00,"3.01","https://user2017.sched.com/event/AxqU",6,817,161,0.45,"144"
"Talk","Community-based learning and knowledge sharing",117,"Markus Kainu",2017-07-06 13:30:00,"PLENARY","https://user2017.sched.com/event/AxqR",6,817,161,0.73,"145"
"Talk","Interactive graphs for blind and print disabled people",94,"Jonathan R. Godfrey",2017-07-06 13:30:00,"4.02","https://user2017.sched.com/event/AxqW",6,817,161,0.58,"146"
"Talk","R-based computing with big data on disk",252,"Kylie A. Bemis",2017-07-06 13:30:00,"2.01","https://user2017.sched.com/event/AxqT",6,817,161,1.57,"147"
"Talk","ReinforcementLearning: A package for replicating human behavior in R",192,"Nicolas Pröllochs",2017-07-06 13:30:00,"3.02","https://user2017.sched.com/event/AxqV",6,817,161,1.19,"148"
"Talk","The **renjin** package: Painless Just-in-time Compilation for High Performance R",89,"Alexander Bertram",2017-07-06 13:30:00,"2.02","https://user2017.sched.com/event/AxqS",6,817,161,0.55,"149"
"Talk","An LLVM-based Compiler Toolkit for R",51,"Nick Ulle",2017-07-06 13:48:00,"2.02","https://user2017.sched.com/event/AxqY",6,1010,161,0.32,"150"
"Talk","Daff: diff, patch and merge for data.frames",120,"Edwin de Jonge",2017-07-06 13:48:00,"2.01","https://user2017.sched.com/event/AxqZ",6,1010,161,0.75,"151"
"Talk","Data Carpentry: Teaching Reproducible Data Driven Discovery",120,"Mine Cetinkaya - Rundel",2017-07-06 13:48:00,"PLENARY","https://user2017.sched.com/event/AxqX",6,1010,161,0.75,"152"
"Talk","Deep Learning for Natural Language Processing in R",265,"Angus Taylor",2017-07-06 13:48:00,"3.02","https://user2017.sched.com/event/Axqb",6,1010,161,1.65,"153"
"Talk","Package ggiraph: a ggplot2 Extension for Interactive Graphics",315,"David Gohel",2017-07-06 13:48:00,"4.02","https://user2017.sched.com/event/Axqc",6,1010,161,1.96,"154"
"Talk","R Package glmm: Likelihood-Based Inference for Generalized Linear Mixed Models",139,"Christina Knudson",2017-07-06 13:48:00,"3.01","https://user2017.sched.com/event/Axqa",6,1010,161,0.86,"155"
"Talk","**countreg**: Tools for count data regression",153,"Christian Kleiber",2017-07-06 14:06:00,"3.01","https://user2017.sched.com/event/Axqg",6,787,161,0.95,"156"
"Talk","odbc - A modern database interface",211,"Jim Hester",2017-07-06 14:06:00,"2.01","https://user2017.sched.com/event/Axqf",6,787,161,1.31,"157"
"Talk","Performance Benchmarking of the R Programming Environment on Knight's Landing",26,"Scott Michael",2017-07-06 14:06:00,"2.02","https://user2017.sched.com/event/Axqe",6,787,161,0.16,"158"
"Talk","R4ML: A Scalable R for Machine Learning",174,"Alok N Singh",2017-07-06 14:06:00,"3.02","https://user2017.sched.com/event/Axqh",6,787,161,1.08,"159"
"Talk","Statistics in Action with R: an educative platform",140,"Marc Lavielle",2017-07-06 14:06:00,"PLENARY","https://user2017.sched.com/event/Axqd",6,787,161,0.87,"160"
"Talk","Visual funnel plot inference for meta-analysis",83,"Michael Kossmeier",2017-07-06 14:06:00,"4.02","https://user2017.sched.com/event/Axqi",6,787,161,0.52,"161"
"Talk","*GNU R* on a Programmable Logic Controller (PLC) in an Embedded-Linux Environment",28,"Oliver Glaß",2017-07-06 14:24:00,"2.02","https://user2017.sched.com/event/Axqk",6,718,161,0.17,"162"
"Talk","A quasi-experiment for the influence of the user interface on the acceptance of R",69,"Matthias Gehrke",2017-07-06 14:24:00,"PLENARY","https://user2017.sched.com/event/Axqj",6,718,161,0.43,"163"
"Talk","Computer Vision and Image Recognition algorithms for R users",237,"Jan Wijffels",2017-07-06 14:24:00,"3.02","https://user2017.sched.com/event/Axqn",6,718,161,1.47,"164"
"Talk","How to Use (R)Stan to Estimate Models in External R Packages",127,"Ben Goodrich",2017-07-06 14:24:00,"3.01","https://user2017.sched.com/event/Axqm",6,718,161,0.79,"165"
"Talk","Improving DBI",134,"Kirill Müller",2017-07-06 14:24:00,"2.01","https://user2017.sched.com/event/Axql",6,718,161,0.83,"166"
"Talk","mapedit - interactive manipulation of spatial objects",123,"Tim Appelhans",2017-07-06 14:24:00,"4.02","https://user2017.sched.com/event/Axqo",6,718,161,0.76,"167"
"Talk","*implyr**: A **dplyr** Backend for a Apache Impala",97,"Ian Cook",2017-07-06 14:42:00,"2.01","https://user2017.sched.com/event/Axqr",5,673,193,0.5,"168"
"Talk","brms: Bayesian Multilevel Models using Stan",169,"Paul Bürkner",2017-07-06 14:42:00,"3.01","https://user2017.sched.com/event/Axqs",5,673,193,0.88,"169"
"Talk","Depth and depth-based classification with R package **ddalpha**",86,"Pavlo Mozharovskyi",2017-07-06 14:42:00,"3.02","https://user2017.sched.com/event/Axqt",5,673,193,0.45,"170"
"Talk","Exploring and presenting maps with **tmap**",159,"Martijn Tennekes",2017-07-06 14:42:00,"4.02","https://user2017.sched.com/event/Axqu",5,673,193,0.82,"171"
"Talk","The analysis of R learning styles with R",162,"Gert Janssenswillen",2017-07-06 14:42:00,"PLENARY","https://user2017.sched.com/event/Axqp",5,673,193,0.84,"172"
"BREAK","COFFEE BREAK",328,NA,2017-07-06 15:00:00,"CATERING POINTS","https://user2017.sched.com/event/Axqv",1,328,966,0.34,"173"
"Sponsor talk","Sponsor Talk Rstudio",354,"Tareef Kawaf",2017-07-06 15:30:00,"PLENARY","https://user2017.sched.com/event/B9H8",1,354,966,0.37,"174"
"Invited Talk","KEYNOTE: Parallel Computation in R:  What We Want, and How We (Might) Get It",561,"Norman Matloff",2017-07-06 15:45:00,"PLENARY","https://user2017.sched.com/event/Ay04",1,561,966,0.58,"175"
"Sponsor talk","SPONSOR TALK EODA",38,"Oliver Bracht",2017-07-06 16:45:00,"PLENARY","https://user2017.sched.com/event/BNgO",1,38,966,0.04,"176"
"Sponsor talk","SPONSOR TALK ORACLE",37,"Mark Hornick",2017-07-06 16:55:00,"PLENARY","https://user2017.sched.com/event/BNgP",1,37,966,0.04,"177"
"Sponsor talk","SPONSOR TALK MANGO SOLUTIONS",32,"Grace Meyer",2017-07-06 17:00:00,"PLENARY","https://user2017.sched.com/event/BNgQ",1,32,966,0.03,"178"
"Sponsor talk","SPONSOR TALK ALTERYX",34,"Dan Putler",2017-07-06 17:05:00,"PLENARY","https://user2017.sched.com/event/BNgR",1,34,966,0.04,"179"
"BREAK","COFFEE BREAK",294,NA,2017-07-06 17:15:00,"CATERING POINTS","https://user2017.sched.com/event/Axqy",1,294,966,0.3,"180"
"Lightning Talk","DNA methylation-based classification of human central nervous system tumors",50,"Martin Sill",2017-07-06 17:30:00,"4.01","https://user2017.sched.com/event/Axr0",6,558,161,0.31,"181"
"Lightning Talk","R and Tableau Integration: A Case approach",132,"Francis Nguyen Ngoc Hoang Long",2017-07-06 17:30:00,"2.02","https://user2017.sched.com/event/Axrd",6,558,161,0.82,"182"
"Lightning Talk","R Blogging with blogdown and GitHub",157,"Joseph Rickert",2017-07-06 17:30:00,"3.02","https://user2017.sched.com/event/Axr4",6,558,161,0.98,"183"
"Lightning Talk","R in a small-sized bank's risk management",94,"Martin Hölbl",2017-07-06 17:30:00,"4.02","https://user2017.sched.com/event/Axqz",6,558,161,0.58,"184"
"Lightning Talk","rdwd – manage German weather observations",57,"Berry Boessenkool",2017-07-06 17:30:00,"2.01","https://user2017.sched.com/event/Axr3",6,558,161,0.35,"185"
"Lightning Talk","The cutpointr package: Improved and tidy estimation of optimal cutpoints",68,"Christian Thiele",2017-07-06 17:30:00,"3.01","https://user2017.sched.com/event/Axrt",6,558,161,0.42,"186"
"Lightning Talk","**eventstudies**: An *R* package for conducting event studies and a platform for methodological research on event studies",52,"Chirag Anand",2017-07-06 17:35:00,"4.02","https://user2017.sched.com/event/AxrB",6,412,161,0.32,"187"
"Lightning Talk","**redmineR** and the story of automating *useR!2017* abstract review process",121,"Maxim Nazarov",2017-07-06 17:35:00,"3.02","https://user2017.sched.com/event/AxrA",6,412,161,0.75,"188"
"Lightning Talk","eseis – A toolbox to weld seismologic and geomorphic data analysis",28,"Michael Dietze",2017-07-06 17:35:00,"2.01","https://user2017.sched.com/event/Axr9",6,412,161,0.17,"189"
"Lightning Talk","Multivariate statistics for PAT data analysis: short overview of existing R packages and methods",51,"Tor Maes",2017-07-06 17:35:00,"4.01","https://user2017.sched.com/event/Axr6",6,412,161,0.32,"190"
"Lightning Talk","Preparing Datetime Data with Padr",78,"Edwin Thoen",2017-07-06 17:35:00,"3.01","https://user2017.sched.com/event/AxrN",6,412,161,0.48,"191"
"Lightning Talk","The dataCompareR package",82,"Robert Noble-Eddy",2017-07-06 17:35:00,"2.02","https://user2017.sched.com/event/Axrj",6,412,161,0.51,"192"
"Lightning Talk","An R Decision Support Framework for the Identification of BMP in Catchments",21,"Anna Malago",2017-07-06 17:40:00,"2.01","https://user2017.sched.com/event/AxrF",6,709,161,0.13,"193"
"Lightning Talk","Automatic Machine Learning in R",235,"Erin LeDell",2017-07-06 17:40:00,"4.02","https://user2017.sched.com/event/Axrm",6,709,161,1.46,"194"
"Lightning Talk","R in Minecraft",118,"David Smith",2017-07-06 17:40:00,"3.01","https://user2017.sched.com/event/AxrU",6,709,161,0.73,"195"
"Lightning Talk","R in research on microbial mutation rates",34,"Qi Zheng",2017-07-06 17:40:00,"4.01","https://user2017.sched.com/event/AxrC",6,709,161,0.21,"196"
"Lightning Talk","The current state of naming conventions in R",157,"Rasmus Bååth",2017-07-06 17:40:00,"3.02","https://user2017.sched.com/event/AxrG",6,709,161,0.98,"197"
"Lightning Talk","Use of templates within an R package to create a (semi-)automated analysis workflow and/or report",144,"Kirsten  Van Hoorde",2017-07-06 17:40:00,"2.02","https://user2017.sched.com/event/Axrp",6,709,161,0.89,"198"
"Lightning Talk","An Introduction to the r2anki-package",55,"Henning Bumann",2017-07-06 17:45:00,"3.02","https://user2017.sched.com/event/AxrM",6,420,161,0.34,"199"
"Lightning Talk","Digital Signal Processing with R",79,"MUNSHI IMRAN HOSSAIN",2017-07-06 17:45:00,"3.01","https://user2017.sched.com/event/Axrs",6,420,161,0.49,"200"
"Lightning Talk","graphiT: an interactive, user-friendly tool to produce graphics based on the grammar of graphics' principles",128,"Lise Vaudor",2017-07-06 17:45:00,"2.02","https://user2017.sched.com/event/Axr7",6,420,161,0.8,"201"
"Lightning Talk","Plasmid Profiler: Comparative Analysis of Plasmid Content in WGS Data",28,"Adrian Zetner",2017-07-06 17:45:00,"4.01","https://user2017.sched.com/event/AxrI",6,420,161,0.17,"202"
"Lightning Talk","R in a Pharmaceutical Company",107,"Reinhold Koch",2017-07-06 17:45:00,"4.02","https://user2017.sched.com/event/Axr2",6,420,161,0.66,"203"
