"type","title","attendance","speaker","time","room","url","concurrent_sessions","concurrent_attendance","expected","attendance_ratio","id"
"Lightning Talk","ICtest: Estimating the Number of Interesting Components",37,"Joni Virta",2017-07-06 18:15:00,"2.01","https://user2017.sched.com/event/Axs2",6,489,161,0.23,"236"
"Lightning Talk","simmer: Discrete-Event Simulation for R",67,"Bart Smeets",2017-07-06 18:15:00,"3.01","https://user2017.sched.com/event/Axs0",6,489,161,0.42,"237"
"Lightning Talk","Strategies for Reproducible Research with Packrat",124,"Sean Lopp",2017-07-06 18:15:00,"2.02","https://user2017.sched.com/event/Axri",6,489,161,0.77,"238"
"Lightning Talk","What is missing from the meta-analysis landscape?",43,"Michael Dewey",2017-07-06 18:15:00,"4.01","https://user2017.sched.com/event/Axs5",6,489,161,0.27,"239"
"Lightning Talk","Working with R when internet is not reliable",86,"Jens Carl Streibig",2017-07-06 18:15:00,"3.02","https://user2017.sched.com/event/Axs9",6,489,161,0.53,"240"
"Lightning Talk","Better Confidence Intervals for Quantiles",92,"Michael Höhle",2017-07-06 18:20:00,"2.01","https://user2017.sched.com/event/Axs8",3,315,322,0.29,"241"
"Lightning Talk","Data Error! But where?",141,"Edwin de Jonge",2017-07-06 18:20:00,"3.01","https://user2017.sched.com/event/Axs6",3,315,322,0.44,"242"
"Lightning Talk","Ultra-Fast Data Mining With The R-KDB+ Interface",82,"Nataraj Dasgupta",2017-07-06 18:20:00,"4.02","https://user2017.sched.com/event/Axrg",3,315,322,0.25,"243"
"Conference Event","Buses",261,NA,2017-07-06 18:30:00,"Wild Gallery","https://user2017.sched.com/event/AxsA",1,261,966,0.27,"244"
"Conference Event","Dinner",302,NA,2017-07-06 19:00:00,"BRUSSELS EXPO","https://user2017.sched.com/event/AxsB",1,302,966,0.31,"245"
"Conference Event","REGISTRATION",22,NA,2017-07-07 08:00:00,"Wild Gallery","https://user2017.sched.com/event/BLE9",1,22,966,0.02,"246"
"Sponsor talk","Sponsor Talk Rconsortium",243,NA,2017-07-07 09:15:00,"PLENARY","https://user2017.sched.com/event/B9H9",1,243,966,0.25,"247"
"Invited Talk","KEYNOTE: R tools for the analysis of complex heterogeneous data",465,"Isabella Gollini",2017-07-07 09:30:00,"PLENARY","https://user2017.sched.com/event/Ay05",1,465,966,0.48,"248"
"BREAK","COFFEE BREAK",293,NA,2017-07-07 10:30:00,"CATERING POINTS","https://user2017.sched.com/event/AxsD",1,293,966,0.3,"249"
"Talk","Actuarial and statistical aspects of reinsurance in R",80,"Tom Reynkens",2017-07-07 11:00:00,"2.02","https://user2017.sched.com/event/AxpO",6,724,161,0.5,"250"
"Talk","Change Point Detection in Persistence Diagrams",51,"Darrin Speegl",2017-07-07 11:00:00,"3.01","https://user2017.sched.com/event/AxsH",6,724,161,0.32,"251"
"Talk","IntegratedJM - an R package to Jointly Model the Gene-Expression and Bioassay Data, Taking Care of the Fingerprint Feature effect",37,"Rudradev Sengupa",2017-07-07 11:00:00,"3.02","https://user2017.sched.com/event/AxsJ",6,724,161,0.23,"252"
"Talk","naniar: Data structures and functions for consistent exploration of missing data",141,"Nicholas Tierney",2017-07-07 11:00:00,"2.01","https://user2017.sched.com/event/AxsG",6,724,161,0.88,"253"
