"id","sked_id","week_name","week_short","week_id","game_num","game_date","date_tbd","time_tbd","game_status","away_team","away_initial","away_score1","away_score2","away_score3","away_score4","away_scoreOT","away_id","home_team","home_initial","home_score1","home_score2","home_score3","home_score4","home_scoreOT","home_id","attendance","sold_out","is_visible","culture","temp","desc","icon"
22157,12675,"Week 2","02",6,"NULL","2014-07-05 15:00:00",0,0,"Final","Saskatchewan","ssk","0","1","14","0","NULL",4,"Toronto","tor","7","10","8","23","NULL",7,"17758",0,1,"en","24.5888888888889","Clear","clear-day"
22159,12677,"Week 3","03",7,"NULL","2014-07-11 19:00:00",0,0,"Final","Winnipeg","wpg","10","9","3","12","NULL",5,"Montreal","mtl","7","6","10","10","NULL",9,"20348",0,1,"en","24.1888888888889","Clear","clear-day"
22161,12679,"Week 3","03",7,"NULL","2014-07-11 22:00:00",0,0,"Final","Ottawa","ott","0","7","1","3","NULL",65,"Edmonton","edm","1","1","9","16","NULL",3,"31521",0,1,"en","20.4111111111111","Clear","clear-night"
22163,12681,"Week 3","03",7,"NULL","2014-07-12 18:30:00",0,0,"Final","Calgary","cgy","10","7","14","3","NULL",2,"Toronto","tor","6","3","6","0","NULL",7,"16102",0,1,"en","25.9611111111111","Clear","clear-day"
22165,12683,"Week 3","03",7,"NULL","2014-07-12 21:30:00",0,0,"Final","BC","bc","11","3","2","10","NULL",1,"Saskatchewan","ssk","0","13","0","0","NULL",4,"32864",0,1,"en","13.2722222222222","Clear","clear-night"
22167,12685,"Week 4","04",8,"NULL","2014-07-17 20:30:00",0,0,"Final","Edmonton","edm","7","6","0","13","NULL",3,"Winnipeg","wpg","0","3","0","0","NULL",5,"30976",0,1,"en","24.6833333333333","Clear","clear-day"
22169,12687,"Week 4","04",8,"NULL","2014-07-18 19:00:00",0,0,"Final","Toronto","tor","3","4","0","10","NULL",7,"Ottawa","ott","3","6","3","6","NULL",65,"24326",1,1,"en","23.7833333333333","Partly Cloudy","partly-cloudy-day"
22171,12689,"Week 4","04",8,"NULL","2014-07-18 22:00:00",0,0,"Final","Hamilton","ham","4","0","3","0","NULL",6,"Calgary","cgy","0","7","0","3","NULL",2,"27546",0,1,"en","16.8388888888889","Clear","clear-night"
22173,12691,"Week 4","04",8,"NULL","2014-07-19 19:00:00",0,0,"Final","Montreal","mtl","3","0","0","2","NULL",9,"BC","bc","10","10","7","14","NULL",1,"25063",0,1,"en","20.1277777777778","Clear","clear-day"
22175,12693,"Week 5","05",9,"NULL","2014-07-24 21:00:00",0,0,"Final","Calgary","cgy","10","10","3","3","NULL",2,"Edmonton","edm","3","10","7","2","NULL",3,"40066",0,1,"en","17.3777777777778","Overcast","cloudy"
22177,12695,"Week 5","05",9,"NULL","2014-07-25 22:00:00",0,0,"Final","Winnipeg","wpg","6","3","14","0","NULL",5,"BC","bc","0","6","0","0","NULL",1,"25321",0,1,"en","16.2055555555556","Clear","clear-night"
22179,12697,"Week 5","05",9,"NULL","2014-07-26 19:00:00",0,0,"Final","Ottawa","ott","7","10","3","3","NULL",65,"Hamilton","ham","14","6","3","10","NULL",6,"6500",0,1,"en","24.4333333333333","Partly Cloudy","partly-cloudy-day"
22181,12699,"Week 5","05",9,"NULL","2014-07-26 22:00:00",0,0,"Final","Toronto","tor","6","0","3","0","NULL",7,"Saskatchewan","ssk","14","14","3","6","NULL",4,"32621",0,1,"en","15.8833333333333","Clear","clear-night"
22183,12701,"Week 6","06",10,"NULL","2014-07-31 19:00:00",0,0,"Final","Winnipeg","wpg","6","7","7","7","NULL",5,"Hamilton","ham","0","3","7","16","NULL",6,"6500",0,1,"en","22.9333333333333","Partly Cloudy","partly-cloudy-day"
22185,12703,"Week 6","06",10,"NULL","2014-08-01 19:00:00",0,0,"Final","Toronto","tor","3","7","7","14","NULL",7,"Montreal","mtl","4","1","0","0","NULL",9,"20692",0,1,"en","24.85","Partly Cloudy","partly-cloudy-day"
22187,12705,"Week 6","06",10,"NULL","2014-08-01 22:00:00",0,0,"Final","BC","bc","7","3","3","12","NULL",1,"Calgary","cgy","7","14","0","3","NULL",2,"27266",0,1,"en","20.2388888888889","Clear","clear-night"
22189,12707,"Week 6","06",10,"NULL","2014-08-02 19:00:00",0,0,"Final","Saskatchewan","ssk","24","8","3","3","NULL",4,"Ottawa","ott","0","7","0","7","NULL",65,"24303",1,1,"en","23.0555555555556","Clear","clear-day"
22191,12709,"Week 7","07",11,"NULL","2014-08-07 20:30:00",0,0,"Final","Saskatchewan","ssk","3","0","7","13","NULL",4,"Winnipeg","wpg","3","7","0","7","NULL",5,"33234",1,1,"en","26.35","Clear","clear-day"
22193,12711,"Week 7","07",11,"NULL","2014-08-08 19:00:00",0,0,"Final","Edmonton","edm","10","20","0","3","NULL",3,"Montreal","mtl","5","3","3","12","NULL",9,"20054",0,1,"en","24.9388888888889","Partly Cloudy","partly-cloudy-day"
22195,12713,"Week 7","07",11,"NULL","2014-08-08 22:00:00",0,0,"Final","Hamilton","ham","3","16","7","3","NULL",6,"BC","bc","17","0","10","9","NULL",1,"24236",0,1,"en","18.4277777777778","Clear","clear-night"
22197,12715,"Week 7","07",11,"NULL","2014-08-09 19:30:00",0,0,"Final","Ottawa","ott","0","7","7","3","NULL",65,"Calgary","cgy","7","21","4","6","NULL",2,"28391",0,1,"en","18.7111111111111","Clear","clear-day"
22199,12717,"Week 8","08",12,"NULL","2014-08-12 19:30:00",0,0,"Final","Winnipeg","wpg","7","7","7","0","NULL",5,"Toronto","tor","0","21","0","17","NULL",7,"18106",0,1,"en","22.4666666666667","Clear","clear-day"
22201,12719,"Week 8","08",12,"NULL","2014-08-15 19:30:00",0,0,"Final","Edmonton","edm","0","4","3","3","NULL",3,"Ottawa","ott","4","4","0","0","NULL",65,"24291",0,1,"en","14.7222222222222","Clear","clear-day"
22203,12721,"Week 8","08",12,"NULL","2014-08-16 15:00:00",0,0,"Final","Calgary","cgy","10","7","3","10","NULL",2,"Hamilton","ham","7","0","3","10","NULL",6,"6500",0,1,"en","19.7444444444445","Clear","clear-day"
22205,12723,"Week 8","08",12,"NULL","2014-08-16 19:00:00",0,0,"Final","Montreal","mtl","0","4","0","7","NULL",9,"Saskatchewan","ssk","1","3","1","11","NULL",4,"33427",1,1,"en","21.2611111111111","Clear","clear-day"
22207,12725,"Week 8","08",12,"NULL","2014-08-17 19:30:00",0,0,"Final","BC","bc","10","3","0","20","NULL",1,"Toronto","tor","0","9","1","7","NULL",7,"18283",0,1,"en","18.7222222222222","Clear","clear-day"
22209,12727,"Week 9","09",13,"NULL","2014-08-22 20:30:00",0,0,"Final","Montreal","mtl","0","6","7","3","NULL",9,"Winnipeg","wpg","1","0","7","16","NULL",5,"29881",0,1,"en","17.4722222222222","Clear","clear-night"
22211,12729,"Week 9","09",13,"NULL","2014-08-23 16:00:00",0,0,"Final","Toronto","tor","7","3","13","4","NULL",7,"Edmonton","edm","7","24","0","10","NULL",3,"33767",0,1,"en","17.8277777777778","Partly Cloudy","partly-cloudy-day"
22213,12731,"Week 9","09",13,"NULL","2014-08-24 15:00:00",0,0,"Final","Calgary","cgy","7","1","3","21","NULL",2,"Ottawa","ott","7","0","0","0","NULL",65,"24327",0,1,"en","26.8611111111111","Partly Cloudy","partly-cloudy-day"
22215,12733,"Week 9","09",13,"NULL","2014-08-24 19:00:00",0,0,"Final","Saskatchewan","ssk","0","9","10","1","NULL",4,"BC","bc","10","3","3","0","NULL",1,"33196",0,1,"en","23.8055555555556","Clear","clear-day"
22217,12735,"Week 10","10",14,"NULL","2014-08-29 19:30:00",0,0,"Final","Ottawa","ott","3","0","0","7","NULL",65,"Montreal","mtl","7","1","5","7","NULL",9,"19440",0,1,"en","19.6277777777778","Clear","clear-day"
22219,12737,"Week 10","10",14,"NULL","2014-08-31 16:00:00",0,0,"Final","Winnipeg","wpg","7","0","14","9","NULL",5,"Saskatchewan","ssk","0","14","7","14","NULL",4,"33427",1,1,"en","17.8777777777778","Partly Cloudy","partly-cloudy-day"
22221,12739,"Week 10","10",14,"NULL","2014-09-01 13:00:00",0,0,"Final","Toronto","tor","3","7","2","0","NULL",7,"Hamilton","ham","10","3","0","0","NULL",6,"18135",0,1,"en","25.9","Partly Cloudy","partly-cloudy-day"
22223,12741,"Week 10","10",14,"NULL","2014-09-01 16:30:00",0,0,"Final","Edmonton","edm","7","3","0","3","NULL",3,"Calgary","cgy","8","7","3","10","NULL",2,"35400",0,1,"en","18.6444444444444","Clear","clear-day"
22225,12743,"Week 11","11",15,"NULL","2014-09-05 19:30:00",0,0,"Final","BC","bc","0","6","1","0","NULL",1,"Ottawa","ott","3","2","0","0","NULL",65,"24287",0,1,"en","25.3111111111111","Clear","clear-night"
22227,12745,"Week 11","11",15,"NULL","2014-09-06 19:00:00",0,0,"Final","Calgary","cgy","3","14","14","10","NULL",2,"Edmonton","edm","0","10","0","24","NULL",3,"40852",0,1,"en","24.0166666666667","Clear","clear-day"
22229,12747,"Week 11","11",15,"NULL","2014-09-07 13:00:00",0,0,"Final","Hamilton","ham","17","4","3","7","NULL",6,"Montreal","mtl","7","0","17","14","NULL",9,"20551",0,1,"en","20","Partly Cloudy","partly-cloudy-day"
22231,12749,"Week 11","11",15,"NULL","2014-09-07 16:00:00",0,0,"Final","Saskatchewan","ssk","1","26","3","0","NULL",4,"Winnipeg","wpg","7","1","8","8","NULL",5,"33234",0,1,"en","23.9277777777778","Clear","clear-day"
22233,12751,"Week 12","12",16,"NULL","2014-09-12 21:00:00",0,0,"Final","Montreal","mtl","0","6","3","7","NULL",9,"Edmonton","edm","5","1","6","21","NULL",3,"27833",0,1,"en","9.63888888888889","Overcast","cloudy"
